NAME（名字）,ALIAS（别名）,ACTORS（演员）,COVER（图片）,DIRECTORS（导演）,GENRES（分类）,LANGUAGES,REGIONS（国家）,RELEASE_DATE（时间）,STORYLINE（简介）
后裔  ,继承大丈夫(港) / 继承人生(台) / 后人,乔治·克鲁尼/谢琳·伍德蕾/阿玛拉·米勒/尼克·克劳斯/帕特丽夏·哈斯蒂/凯·哈特·赫明斯/博·布里奇斯/马特·科博伊/马特·埃斯克森/迈克尔·昂吉恩/斯坦顿·约翰斯顿/米尔特·科根/玛丽·伯德桑/罗布·许贝尔/莱尔德·约翰·哈密尔顿/罗伯特·福斯特/马修·里沃德/朱迪·格雷尔/斯科特·迈克尔·摩根,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1330001435.jpg,亚历山大·佩恩,剧情/喜剧/家庭,英语,美国,2011/9/2,事业有成的律师马特（乔治·克鲁尼 George Clooney饰）的妻子因为一次意外变成了植物人。最近医生告诉他，妻子大限将至，令他倍受打击。同时，他作为夏威夷某岛的继承人还在与信托基金谈开发事宜。忙乱之中，两个女儿也不让马特省心：小女孩斯科蒂（阿玛拉·米勒 Amara Mil ler 饰）经常对同学爆粗口，马特只得带她亲自登门道歉；大女儿亚利桑德拉（谢琳·伍德蕾 Shailene Woodley 饰）住寄宿学校终日酗酒，母亲病重，马特希望亚利桑德拉摒弃对母亲的敌意，然而女儿却道出了母女决裂的原因——她发现了母亲出轨的事实。这彻底颠覆了妻子在马特心目中的印象。他跑去找妻子的闺蜜求证，答案竟然如出一辙。一直被蒙在鼓里的马特既失望又愤怒，开始带着女儿顺藤摸瓜，寻找第三者……
逃亡乐队  ,跷家女声(台) / 粉红天后(港),克里斯汀·斯图尔特/达科塔·范宁/迈克尔·珊农/斯黛拉·麦薇/丝柯·泰勒-考普顿/阿莉雅·肖卡特/丽莉·克亚芙/强尼·莱维斯/塔图姆·奥尼尔/布莱特·卡伦/汉娜·马克斯/艾丽·格兰特,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p458986068.jpg,弗洛莉娅·塞吉斯蒙迪,剧情/音乐/传记,英语,美国,2010/1/28,在20世纪70年代以前，摇滚乐还是男性的天下，即使它的影响力以遍及世界各地，但全女子的摇滚乐团却从未出现。18岁的琼·杰特（克莉丝汀·斯图尔特 Kristen Stewart 饰）是一个狂迷摇滚乐的叛逆女孩，她始终渴望组建一支女子摇滚乐团。在经纪人金·弗利（麦克·谢农 Michael Shannon 饰）的帮助下，他们找到了15岁的切丽·柯里（达科塔·范宁 Dakota Fanning 饰）——与琼同样来自南加州且喜爱大卫·鲍伊的女孩——担任主唱。在此之后，吉他手丽塔·福特（Scout Taylor-Compton 饰）、鼓手珊蒂·韦斯特（Stella Maeve 饰）、贝司杰基·福克斯先后入队，全女子乐队“逃亡”正式成立。女孩们由此展开了多姿多彩、忧喜相伴的音乐之旅……
体育馆宝贝  ,,中村优一 Y?ichi Nakamura/桐谷美玲 Mirei Kiritani/高桥优太 Y?ta Takahashi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193233154.jpg,深川荣洋 Yoshihiro Fukagawa,剧情,日语,日本,2008/5/10,一直以来，柴原润（中村优一 饰）都是学校游泳队的种子选手，没想到在一次十分重要的比赛中，他竟然落败给了和自己势力悬殊巨大的村井直树（高桥优太 饰）。润的父亲保（渡边一计 饰）是游泳队的教练，他劝说自己的儿子放弃游泳，努力学习功课。就在润的内心产生动摇之时，直树竟然找到了润，希望润能够当自己的指导教练。
压榨  ,香精工厂 / 榨取 / 提取,杰森·贝特曼/米拉·库尼斯/克里斯汀·韦格/本·阿弗莱克/J·K·西蒙斯/小克利夫顿·克林斯/达斯汀·米利甘,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1335695395.jpg,迈克·乔吉,喜剧/爱情/犯罪,英语,美国,2009/9/4,美丽女孩辛迪（米拉?库尼丝 Mila Kunis 饰）是个行骗高手，她在乐器行跟两个店员打情骂俏，趁对方心猿意马之际，盗走了昂贵的吉他。事后，她又在杂货店靠眼泪博得了伙计的同情，将赃物出手，狠赚了一笔。后来，她在报纸上读到某个香料精生产商的员工意外受伤，可能获得高额赔偿，便自告奋勇，前来应征。乔伊（杰森?巴特曼Jason Bateman 饰）就是这家香草精厂家的主管，他手下的人力主管布莱恩将美女招致麾下，但乔伊关心的只是如何让产品打开销路，以及让性趣索然的妻子苏茜（克里斯汀?韦格 Kristen Wiig 饰）重燃激情。这时，律师好友迪恩（本?阿弗莱克Ben Affleck 饰）便出谋划策，让他请一个男妓，考验一下妻子的忠贞度，没想到这一试，却导致了令人啼笑皆非的结果……
愤怒的公牛2  ,,汤姆·塞兹摩尔/威廉·弗西斯/乔·曼特纳/保罗·索维诺/佩内洛普·安·米勒/雷·怀斯/娜塔莎·亨斯屈奇/詹姆斯·拉索/罗伯特·戴维/克萝丽丝·利奇曼/迈克·斯塔尔/乔·柯蒂斯/布鲁斯·戴维森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2407363502.jpg,马丁·圭瑰,剧情/传记/运动,英语,美国,2016/6/13,一部愤怒的公牛的前传和续集的集合体，描写了愤怒前和愤怒后的中量级拳王Jake La Motta跌宕起伏的一生。
陌路之恋  ,世界上的另一个你(台) / 绅士与流浪汉,蕾妮·齐薇格/强·沃特/杰曼·翰苏/格雷戈·金尼尔/奥利维亚·霍尔特/丹娜·格瑞尔/拉腊·格赖斯/佩顿·威奇/安·马奥尼/米凯尔·珊农·詹金斯/斯蒂芬妮·利·施朗德/托马斯·弗兰西斯·墨菲/丹尼尔·扎卡帕/耐尔斯·斯蒂尔/托内亚·斯图尔特/大卫·詹森,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502871698.jpg,迈克尔·卡尼,剧情,英语,美国,2017/10/20,本片改编自丹佛·摩尔与朗·霍尔合着的纪实小说。
赤色挽歌  ,,石桥莲司,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509290190.jpg,林静一,动画,日语,日本,2007/6/21,日本昭和四十年代末，从事动画工作的一郎，开始向漫画家转行。而他的女友幸子在动画行业负责上色的工作。两人的前途虽然渺茫，却依旧努力地苦苦打拼着。他们的同居生活虽然贫苦，却依旧甜蜜。一郎和幸子，彼此分享着细琐但却充满滋味的爱情生活。然而这卑微的小幸福，终抵不过残酷现实的考验。坚守着的苍白爱情，还是换得曲终人散。
僵尸至尊  ,灵幻家族(台),林正英/钱小豪/吴家丽/刘洵/黄斌/黄子扬/谷峰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2349620814.jpg,刘伟强,喜剧/动作/恐怖,粤语,香港,1991/1/1,七月十五，鬼门大开，孤魂野鬼游荡人间。茅山道长九叔（林正英 饰）精心准备鬼月所需祭品，而顽皮的二徒弟文才却跑去看鬼戏。文才懵懂，不只身旁已聚满群鬼，更有貌美如画的女鬼小丽（吴家丽 饰）将其相中。九叔命大徒弟秋生（钱小豪 饰）前去营救，秋生则为小丽美色所惑。最终师徒惊动群鬼，使得它们逃脱鬼差管制，徘徊人世。
能登新娘  ,,田中美里/内海桂子/池内万作/甲本雅裕/泉品子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195104842.jpg,白羽弥仁,剧情,日语,日本,2008/8/23,东京，米雪和宏一准备结婚。乡下传来宏一母亲摔断腿的消息，宏一因工作原因没有办法回乡下照顾母亲，米雪自告奋勇替宏一照顾他母亲。
喜悦之泪  ,快乐的泪,黛米·摩尔/帕克·波西/艾伦·巴金/雷普·汤恩/克里斯蒂安·卡玛戈/比利·马格努森/罗杰·里斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p504265084.jpg,米切尔·利希藤斯坦,剧情/喜剧,英语,美国,2009/2/11,"Two sisters, Jayne (Posey) and Laura (Moore), return home to deal with their ailing father Joe (Torn), only to face some surprising situations."
双头恶魔  ,,香川照之/渡辺満里奈/三浦綺音,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525226784.jpg,清水利晃,悬疑,日语,日本,1995/10/20,“90年代のクイーン”気鋭のミステリー作家有栖川有栖の代表作を完全映像化！名探偵 江神二郎 登場！閉ざされた芸術家村で起きた同時他殺事件巧妙に仕掛けられた犯罪に“名探偵”江神二郎が挑む！事件は四国山中の世間から隔絶された芸術家ばかりの集落で始まる。村を買い取った実業家の支配のもと、集落の開発を唱えていた画家が惨殺される。そして時同じくして川を挟んだ隣村でも奇妙な殺人事件が発生。陸の孤島と化した芸術家村で起きた同時他殺事件。この巧妙に仕掛けられた犯罪トリックに対して“名探偵”江神二郎(香川照之)が究極の謎解きを展開していく…。
剃头匠  ,,靖奎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2186918733.jpg,哈斯朝鲁,剧情/传记,汉语普通话,中国大陆,2006/10/24,敬大爷如今是个九十三岁高龄的耄耋老人，他有八十多年的剃头经历，至今仍住在北京胡同的大杂院里，过着北京城内最底层最普通也是最平淡的生活，他经常给老主顾们上门剃头、聊天，回家后拨弄着自己那座每天慢五分钟的老座钟，他希望每个人（也包括他自己）干干净净的来到人世，也希望人们干干净净利利索索的离去……
浑身是劲  ,,肯尼·沃莫尔德 /朱莉安·浩夫/丹尼斯·奎德/迈尔斯·特勒/安迪·麦克道威尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1222668266.jpg,克雷格·布鲁尔,剧情/喜剧/歌舞,英语,美国,2011/10/14,在小城贝农，饮酒作乐的派对和激情四射的动感音乐是被禁止的，甚至有专门的法案来规范当地青少年的行为举止。造成成年人们如此草木皆兵的是多年前的一起事故，五个风华正茂的少年在外出游玩的途中发生了车祸全部命丧黄泉。对于城中肃杀的气氛，伦（肯尼·沃尔默 Kenny Wormald 饰）无法理解，不久前，他刚刚从大都市波士顿移居至此，对生命充满了激情和热情的伦决定身先士卒，对抗腐朽的制度。
乌云背后的幸福线  ,失恋自作业(港) / 派特的幸福剧本(台) / 每朵乌云背后都有阳光 / 一线希望 / 闪开，让我拥抱幸福,布莱德利·库珀/詹妮弗·劳伦斯/罗伯特·德尼罗/杰基·韦佛/克里斯·塔克/阿努潘·凯尔/约翰·奥提兹/谢伊·惠格姆/朱丽娅·斯蒂尔斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1755867083.jpg,大卫·O·拉塞尔,剧情/喜剧/爱情/家庭,英语,美国,2012/9/8,本身生性开朗乐观的中学教师帕特（布莱德利·库珀 Bradley Cooper 饰）回家撞见老婆出轨后因精神创伤被父母送进医院进行精神治疗。出院后帕特回到父母家与父母同住，在父亲（罗伯特·德尼罗 Robert De Niro 饰）与母亲（杰基·韦佛 Jacki Weaver 饰）的过度关怀下不免觉得压抑。一次聚会上帕特遇到了刚刚失去丈夫和工作的年轻女子蒂凡妮（詹妮弗·劳伦斯 Jennifer Lawrence 饰）。浑身是刺的蒂凡妮与帕特处处针锋相对，令帕特一开始唯恐避之不及。但随着两人接触的深入，帕特渐渐发现了蒂凡妮的动人之处，蒂凡妮也发现了帕特身上难以磨灭的乐观精神。蒂凡妮要求帕特与她共同练舞参加比赛，两人的关系开始向积极的方向改善。在舞蹈比赛的赛场，帕特终于找到了一生的所爱，而他与蒂凡妮的生活也拨开乌云重见阳光。
克鲁采奏鸣曲  ,,丹尼·赫斯顿/伊丽莎白·霍尔姆,https://img3.doubanio.com/view/subject/l/public/s4149916.jpg,伯纳德·罗斯,剧情,英语,美国,2008/11/5,"Based on ""The Kreutzer Sonata"""
天水围的日与夜  ,,鲍起静/陈丽云/梁进龙/陈玉莲/高志森/陈丽卿,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2157923959.jpg,许鞍华,剧情/家庭,粤语,香港,2008/7/17,天水围位于香港新界元朗区，原是一条小围村，1980年代末被港英政府发展成为以住宅为主的新市镇，但今天它的30万居民多为底层劳工（其中有诸多新移民及大陆新娘）。由于天水围发生过多起震惊港媒的伦常惨案，该地被视作“悲情市镇”，可是其中多数居民平日其实过着与其他港人并无差异的生活，相依为命的贵（鲍起静）与张家安（梁进龙）母子便是如此。
